DIA_TRANSPORTE,"NOMBRE_EMPRESA","LINEA","AMBA","TIPO_TRANSPORTE","JURISDICCION","PROVINCIA","MUNICIPIO",CANTIDAD,"DATO_PRELIMINAR"
2026-01-01,"LOS CONSTITUYENTES S.A.T.","BSAS_LINEA_078","SI","COLECTIVO","NACIONAL","JN","SD",4134,"NO"
2026-01-01,"SAN VICENTE S.A. DE TRANSPORTES","BSAS_LINEA_079","SI","COLECTIVO","NACIONAL","JN","SD",4102,"NO"
2026-01-01,"TRANSPORTES NUEVA CHICAGO C.I.S.A.","BSAS_LINEA_080","SI","COLECTIVO","NACIONAL","JN","SD",5024,"NO"
2026-01-01,"SOCIEDAD ANONIMA EXPRESO SUDOESTE","BSAS_LINEA_085","SI","COLECTIVO","NACIONAL","JN","SD",9545,"NO"
2026-01-01,"D.U.V.I. SOCIEDAD ANONIMA","BSAS_LINEA_086","SI","COLECTIVO","NACIONAL","JN","SD",107,"NO"
2026-01-01,"LOS CONSTITUYENTES S.A.T.","BSAS_LINEA_087","SI","COLECTIVO","NACIONAL","JN","SD",2519,"NO"
2026-01-01,"LINEA EXPRESO LINIERS S.A.I.Y C.","BSAS_LINEA_088","SI","COLECTIVO","NACIONAL","JN","SD",2856,"NO"
2026-01-01,"TRANSPORTES LOPE DE VEGA S.A.C.I.","BSAS_LINEA_091","SI","COLECTIVO","NACIONAL","JN","SD",3096,"NO"
2026-01-01,"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.","BSAS_LINEA_092","SI","COLECTIVO","NACIONAL","JN","SD",8883,"NO"
2026-01-01,"TRANSPORTES 1º SEPTIEMBRE S.A.","BSAS_LINEA_093","SI","COLECTIVO","NACIONAL","JN","SD",1287,"NO"
2026-01-01,"EMPRESA ANTARTIDA ARGENTINA S.A.T.","BSAS_LINEA_095","SI","COLECTIVO","NACIONAL","JN","SD",2416,"NO"
2026-01-01,"TRANSPORTE IDEAL SAN JUSTO S.A.","BSAS_LINEA_096","SI","COLECTIVO","NACIONAL","JN","SD",3163,"NO"
2026-01-01,"BUS DEL OESTE S.A.","BSAS_LINEA_097","SI","COLECTIVO","NACIONAL","JN","SD",608,"NO"
2026-01-01,"EXPRESO QUILMES S.A.","BSAS_LINEA_098","SI","COLECTIVO","NACIONAL","JN","SD",10831,"NO"
2026-01-01,"TRANSPORTES AUTOMOTORES RIACHUELO S.A.","BSAS_LINEA_100","SI","COLECTIVO","NACIONAL","JN","SD",5093,"NO"
2026-01-01,"TRANSPORTES QUIRNO COSTA S.A.C.I.","BSAS_LINEA_103","SI","COLECTIVO","NACIONAL","JN","SD",4399,"NO"
2026-01-01,"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.","BSAS_LINEA_105","SI","COLECTIVO","NACIONAL","JN","SD",6994,"NO"
2026-01-01,"GENERAL PUEYRREDON S.A.T.C.I.","BSAS_LINEA_110","SI","COLECTIVO","NACIONAL","JN","SD",4594,"NO"
2026-01-01,"LOS CONSTITUYENTES S.A.T.","BSAS_LINEA_111","SI","COLECTIVO","NACIONAL","JN","SD",2960,"NO"
2026-01-01,"BERNARDINO RIVADAVIA S.A.T.A.","BSAS_LINEA_113","SI","COLECTIVO","NACIONAL","JN","SD",3505,"NO"
2026-01-01,"LA CENTRAL DE VICENTE LOPEZ S.A.","BSAS_LINEA_114","SI","COLECTIVO","NACIONAL","JN","SD",2716,"NO"
2026-01-01,"TRANSPORTE LARRAZABAL C.I.S.A.","BSAS_LINEA_117","SI","COLECTIVO","NACIONAL","JN","SD",4612,"NO"
2026-01-01,"TRANSPORTES AUTOMOTORES CALLAO S.A.","BSAS_LINEA_124","SI","COLECTIVO","NACIONAL","JN","SD",3629,"NO"
2026-01-01,"CARDENAS S.A. EMPRESA DE TRANSPORTES","BSAS_LINEA_126","SI","COLECTIVO","NACIONAL","JN","SD",8744,"NO"
2026-01-01,"LOS CONSTITUYENTES S.A.T.","BSAS_LINEA_127","SI","COLECTIVO","NACIONAL","JN","SD",3398,"NO"
2026-01-01,"EL PUENTE S.A.T.","BSAS_LINEA_128","SI","COLECTIVO","NACIONAL","JN","SD",3084,"NO"
2026-01-01,"LA CENTRAL DE VICENTE LOPEZ S.A.","BSAS_LINEA_129","SI","COLECTIVO","NACIONAL","JN","SD",1931,"NO"
2026-01-01,"TRANSPORTES AVENIDA BERNARDO ADER S.A.","BSAS_LINEA_130","SI","COLECTIVO","NACIONAL","JN","SD",6524,"NO"
2026-01-01,"ERSA URBANO SA","BSAS_LINEA_133","SI","COLECTIVO","NACIONAL","JN","SD",3622,"NO"
2026-01-01,"TRANSPORTES AUTOMOTORES RIACHUELO S.A.","BSAS_LINEA_134","SI","COLECTIVO","NACIONAL","JN","SD",3613,"NO"
2026-01-01,"TRANSPORTES LOPE DE VEGA S.A.C.I.","BSAS_LINEA_135","SI","COLECTIVO","NACIONAL","JN","SD",3447,"NO"
2026-01-01,"SARGENTO CABRAL S.A.DE TRANSPORTE","BSAS_LINEA_136","SI","COLECTIVO","NACIONAL","JN","SD",2694,"NO"
2026-01-01,"ERSA URBANO SA","BSAS_LINEA_140","SI","COLECTIVO","NACIONAL","JN","SD",3110,"NO"
2026-01-01,"LA CENTRAL DE VICENTE LOPEZ S.A.","BSAS_LINEA_143","SI","COLECTIVO","NACIONAL","JN","SD",1945,"NO"
2026-01-01,"ROCARAZA S.A.","BSAS_LINEA_146","SI","COLECTIVO","NACIONAL","JN","SD",4784,"NO"
2026-01-01,"NUDO S.A.","BSAS_LINEA_150","SI","COLECTIVO","NACIONAL","JN","SD",3706,"NO"
2026-01-01,"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.","BSAS_LINEA_152","SI","COLECTIVO","NACIONAL","JN","SD",15323,"NO"
2026-01-01,"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.","BSAS_LINEA_153","SI","COLECTIVO","NACIONAL","JN","SD",2097,"NO"
2026-01-01,"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.","BSAS_LINEA_154","SI","COLECTIVO","NACIONAL","JN","SD",277,"NO"
2026-01-01,"EL PUENTE S.A.T.","BSAS_LINEA_158","SI","COLECTIVO","NACIONAL","JN","SD",2689,"NO"
2026-01-01,"MICRO OMNIBUS QUILMES S.A.C.I. Y F.","BSAS_LINEA_159","SI","COLECTIVO","NACIONAL","JN","SD",7210,"NO"
2026-01-01,"MICRO OMNIBUS SUR S.A.C.","BSAS_LINEA_160","SI","COLECTIVO","NACIONAL","JN","SD",7353,"NO"
2026-01-01,"TRANSPORTE LARRAZABAL C.I.S.A.","BSAS_LINEA_161","SI","COLECTIVO","NACIONAL","JN","SD",5425,"NO"
2026-01-01,"SARGENTO CABRAL S.A.DE TRANSPORTE","BSAS_LINEA_163","SI","COLECTIVO","NACIONAL","JN","SD",1003,"NO"
2026-01-01,"EMPRESA LINEA 216 S.A.T.","BSAS_LINEA_166","SI","COLECTIVO","NACIONAL","JN","SD",7357,"NO"
2026-01-01,"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.","BSAS_LINEA_168","SI","COLECTIVO","NACIONAL","JN","SD",5984,"NO"
2026-01-01,"TRANSPORTE ESCALADA S.A.T.","BSAS_LINEA_169","SI","COLECTIVO","NACIONAL","JN","SD",2828,"NO"
2026-01-01,"LA CABAÑA S.A.","BSAS_LINEA_172","SI","COLECTIVO","NACIONAL","JN","SD",1824,"NO"
2026-01-01,"LA CABAÑA S.A.","BSAS_LINEA_174","SI","COLECTIVO","NACIONAL","JN","SD",1888,"NO"
2026-01-01,"EXPRESO GENERAL SARMIENTO S.A.","BSAS_LINEA_176","SI","COLECTIVO","NACIONAL","JN","SD",4655,"NO"
2026-01-01,"SAN VICENTE S.A. DE TRANSPORTES","BSAS_LINEA_177","SI","COLECTIVO","NACIONAL","JN","SD",3712,"NO"
2026-01-01,"COMPAÑIA MICROOMNIBUS LA COLORADA SACI","BSAS_LINEA_178","SI","COLECTIVO","NACIONAL","JN","SD",5244,"NO"
2026-01-01,"GRUPO LINEA 179 S.A.","BSAS_LINEA_179","SI","COLECTIVO","NACIONAL","JN","SD",1708,"NO"
2026-01-01,"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS","BSAS_LINEA_180","SI","COLECTIVO","NACIONAL","JN","SD",5596,"NO"
2026-01-01,"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA","BSAS_LINEA_181","SI","COLECTIVO","NACIONAL","JN","SD",3402,"NO"
2026-01-01,"SARGENTO CABRAL S.A.DE TRANSPORTE","BSAS_LINEA_182","SI","COLECTIVO","NACIONAL","JN","SD",4502,"NO"
2026-01-01,"TRANSPORTE IDEAL SAN JUSTO S.A.","BSAS_LINEA_185","SI","COLECTIVO","NACIONAL","JN","SD",309,"NO"
2026-01-01,"TRANSPORTE LARRAZABAL C.I.S.A.","BSAS_LINEA_188","SI","COLECTIVO","NACIONAL","JN","SD",3938,"NO"
2026-01-01,"D.U.V.I. SOCIEDAD ANONIMA","BSAS_LINEA_193","SI","COLECTIVO","NACIONAL","JN","SD",133,"NO"
2026-01-01,"LA NUEVA METROPOL S.A.","BSAS_LINEA_194","SI","COLECTIVO","NACIONAL","JN","SD",2978,"NO"
2026-01-01,"LA NUEVA METROPOL S.A.","BSAS_LINEA_195","SI","COLECTIVO","NACIONAL","JN","SD",3168,"NO"
2026-01-01,"LA CENTRAL DE VICENTE LOPEZ S.A.","BSAS_LINEA_197","SI","COLECTIVO","NACIONAL","JN","SD",8011,"NO"
2026-01-01,"TRANSPORTE LA UNION SA","BSAS_LINEA_202","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",4370,"NO"
2026-01-01,"AZUL S.A. DE TRANSPORTE AUTOMOTOR","BSAS_LINEA_203","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",25141,"NO"
2026-01-01,"MICRO OMNIBUS TIGRE S.A.","BSAS_LINEA_204","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",477,"NO"
2026-01-01,"LINEA SESENTA SA","BSAS_LINEA_204A","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",273,"NO"
2026-01-01,"UNION PLATENSE SRL","BSAS_LINEA_214","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1086,"NO"
